Informacje podstawowe:
 Nazwa katalogu: ULIC, 
 Zawartość: część, 
 Czas utworzenia: 23.06.2024 16:51:23. 

WOJ;POW;GMI;RODZ_GMI;SYM;SYM_UL;CECHA;NAZWA_1;NAZWA_2;STAN_NA
02;61;01;1;0935802;00144;ul.;Agnieszki;Księżnej;2024-06-21
02;61;01;1;0935802;30207;ul.;Agnieszkowska;;2024-06-21
02;61;01;1;0935802;00157;ul.;Akacjowa;;2024-06-21
02;61;01;1;0935802;02047;ul.;Alberta;św. Brata;2024-06-21
02;61;01;1;0935802;33262;ul.;Aleja Jana Pawła II;;2024-06-21
02;61;01;1;0935802;34760;ul.;Aleja Solidarności;;2024-06-21
02;61;01;1;0935802;59300;ul.;Aleja Tadeusza Mazowieckiego;;2024-06-21
02;61;01;1;0935802;58142;ul.;Aleja Władysława Bartoszewskiego;;2024-06-21
02;61;01;1;0935802;51775;ul.;Alejka Andrzeja Dziedziula;;2024-06-21
02;61;01;1;0935802;00285;ul.;Andersa;gen. Władysława;2024-06-21
02;61;01;1;0935802;00432;ul.;Armii Krajowej;;2024-06-21
02;61;01;1;0935802;00470;ul.;Asnyka;Adama;2024-06-21
02;61;01;1;0935802;00484;ul.;Ateńska;;2024-06-21
02;61;01;1;0935802;00547;ul.;Bacewicz;Grażyny;2024-06-21
02;61;01;1;0935802;00569;ul.;Baczyńskiego;Krzysztofa Kamila;2024-06-21
02;61;01;1;0935802;00692;ul.;Bankowa;;2024-06-21
02;61;01;1;0935802;00763;ul.;Barlickiego;Norberta;2024-06-21
02;61;01;1;0935802;00785;ul.;Bartka Zwycięzcy;;2024-06-21
02;61;01;1;0935802;00868;ul.;Batalionów Chłopskich;;2024-06-21
02;61;01;1;0935802;01014;ul.;Bema;gen. Józefa;2024-06-21
02;61;01;1;0935802;01052;ul.;Berenta;Wacława;2024-06-21
02;61;01;1;0935802;01071;ul.;Berlińska;;2024-06-21
02;61;01;1;0935802;45137;ul.;Bernatta;Stanisława;2024-06-21
02;61;01;1;0935802;01336;ul.;Bilewicza;Teodora;2024-06-21
02;61;01;1;0935802;01395;ul.;Blacharska;;2024-06-21
02;61;01;1;0935802;01442;ul.;Bławatkowa;;2024-06-21
02;61;01;1;0935802;01458;ul.;Błękitna;;2024-06-21
02;61;01;1;0935802;01528;ul.;Boczna;;2024-06-21
02;61;01;1;0935802;01608;ul.;Bogusławskiego;Wojciecha;2024-06-21
02;61;01;1;0935802;01637;ul.;Bohaterów Getta;;2024-06-21
02;61;01;1;0935802;01689;ul.;Bohaterów Września 1939 r.;;2024-06-21
02;61;01;1;0935802;01742;ul.;Bolesława Chrobrego;;2024-06-21
02;61;01;1;0935802;01747;al.;Bolesława Krzywoustego;;2024-06-21
02;61;01;1;0935802;59312;ul.;Bolka I Surowego;Księcia;2024-06-21
02;61;01;1;0935802;59310;ul.;Bolka II Małego;Księcia;2024-06-21
02;61;01;1;0935802;01856;ul.;Borowikowa;;2024-06-21
02;61;01;1;0935802;01874;ul.;Borówkowa;;2024-06-21
02;61;01;1;0935802;02079;ul.;Brezy;Tadeusza;2024-06-21
02;61;01;1;0935802;02125;ul.;Broniewskiego;Władysława;2024-06-21
02;61;01;1;0935802;02225;ul.;Brzechwy;Jana;2024-06-21
