Informacje podstawowe:
 Nazwa katalogu: ULIC, 
 Zawartość: część, 
 Czas utworzenia: 23.06.2024 16:51:23. 

WOJ;POW;GMI;RODZ_GMI;SYM;SYM_UL;CECHA;NAZWA_1;NAZWA_2;STAN_NA
02;62;01;1;0954047;00157;ul.;Akacjowa;;2024-06-21
02;62;01;1;0954047;53465;ul.;Aleja 100-lecia Odzyskania Niepodległości;;2024-06-21
02;62;01;1;0954047;57602;ul.;Aleja Czerwonych Maków;;2024-06-21
02;62;01;1;0954047;41896;ul.;Aleja Ofiar Ludobójstwa OUN - UPA;;2024-06-21
02;62;01;1;0954047;38342;al.;Aleja Platanowa;;2024-06-21
02;62;01;1;0954047;00285;ul.;Andersa;gen. Władysława;2024-06-21
02;62;01;1;0954047;00294;ul.;Andromedy;;2024-06-21
02;62;01;1;0954047;00322;ul.;Anielewicza;Mordechaja;2024-06-21
02;62;01;1;0954047;00345;ul.;Antenowa;;2024-06-21
02;62;01;1;0954047;00404;ul.;Argentyńska;;2024-06-21
02;62;01;1;0954047;00432;ul.;Armii Krajowej;;2024-06-21
02;62;01;1;0954047;00457;ul.;Artyleryjska;;2024-06-21
02;62;01;1;0954047;00470;ul.;Asnyka;Adama;2024-06-21
02;62;01;1;0954047;00473;ul.;Astronomiczna;;2024-06-21
02;62;01;1;0954047;00476;ul.;Astrów;;2024-06-21
02;62;01;1;0954047;00569;ul.;Baczyńskiego;Krzysztofa Kamila;2024-06-21
02;62;01;1;0954047;00584;ul.;Bagienna;;2024-06-21
02;62;01;1;0954047;00692;ul.;Bankowa;;2024-06-21
02;62;01;1;0954047;00801;ul.;Bartnicza;;2024-06-21
02;62;01;1;0954047;00818;ul.;Bartoszowska;;2024-06-21
02;62;01;1;0954047;00872;ul.;Batalionu "Parasol";;2024-06-21
02;62;01;1;0954047;00877;ul.;Batalionu "Zośka";;2024-06-21
02;62;01;1;0954047;01127;ul.;Będzińska;;2024-06-21
02;62;01;1;0954047;01103;ul.;Beskidzka;;2024-06-21
02;62;01;1;0954047;01132;ul.;Biała;;2024-06-21
02;62;01;1;0954047;01237;ul.;Biegunowa;;2024-06-21
02;62;01;1;0954047;01244;ul.;Bielańska;;2024-06-21
02;62;01;1;0954047;49477;ul.;Bieniowicka;;2024-06-21
02;62;01;1;0954047;01326;ul.;Bieszczadzka;;2024-06-21
02;62;01;1;0954047;36210;ul.;Bilsego;Benjamina;2024-06-21
02;62;01;1;0954047;01363;ul.;Biskupia;;2024-06-21
02;62;01;1;0954047;55577;rondo;Bitwy pod Monte Cassino;;2024-06-21
02;62;01;1;0954047;42551;rondo;Bitwy Warszawskiej;;2024-06-21
02;62;01;1;0954047;01442;ul.;Bławatkowa;;2024-06-21
02;62;01;1;0954047;01492;ul.;Bobrowa;;2024-06-21
02;62;01;1;0954047;01502;ul.;Bobrzańska;;2024-06-21
02;62;01;1;0954047;01518;ul.;Bociania;;2024-06-21
02;62;01;1;0954047;01528;ul.;Boczna;;2024-06-21
02;62;01;1;0954047;01636;pl.;Bohaterów Getta;;2024-06-21
02;62;01;1;0954047;01700;ul.;Boiskowa;;2024-06-21
02;62;01;1;0954047;01742;ul.;Bolesława Chrobrego;;2024-06-21
02;62;01;1;0954047;01811;ul.;Bora-Komorowskiego;gen. Tadeusza;2024-06-21
02;62;01;1;0954047;01876;ul.;Borsucza;;2024-06-21
02;62;01;1;0954047;01929;ul.;Boya-Żeleńskiego;Tadeusza;2024-06-21
02;62;01;1;0954047;02009;ul.;Bracka;;2024-06-21
02;62;01;1;0954047;02016;ul.;Brama Głogowska;;2024-06-21
02;62;01;1;0954047;02056;ul.;Bratkowa;;2024-06-21
02;62;01;1;0954047;02068;ul.;Brazylijska;;2024-06-21
02;62;01;1;0954047;02125;ul.;Broniewskiego;Władysława;2024-06-21
02;62;01;1;0954047;02225;ul.;Brzechwy;Jana;2024-06-21
02;62;01;1;0954047;02264;ul.;Brzoskwiniowa;;2024-06-21
02;62;01;1;0954047;02276;ul.;Brzozowa;;2024-06-21
02;62;01;1;0954047;02387;ul.;Bukowa;;2024-06-21
02;62;01;1;0954047;02498;ul.;Bydgoska;;2024-06-21
02;62;01;1;0954047;02513;ul.;Bystra;;2024-06-21
02;62;01;1;0954047;02516;ul.;Bystrzycka;;2024-06-21
02;62;01;1;0954047;02528;ul.;Bytomska;;2024-06-21
02;62;01;1;0954047;02566;ul.;Cedrowa;;2024-06-21
02;62;01;1;0954047;02587;ul.;Ceglana;;2024-06-21
02;62;01;1;0954047;02602;ul.;Celna;;2024-06-21
02;62;01;1;0954047;02629;ul.;Ceramiczna;;2024-06-21
02;62;01;1;0954047;02657;ul.;Chabrowa;;2024-06-21
02;62;01;1;0954047;02734;ul.;Chłapowskiego;Dezyderego;2024-06-21
02;62;01;1;0954047;02750;ul.;Chłopska;;2024-06-21
02;62;01;1;0954047;02784;ul.;Chocianowska;;2024-06-21
02;62;01;1;0954047;02828;ul.;Chojnowska;;2024-06-21
02;62;01;1;0954047;02863;ul.;Chorzowska;;2024-06-21
02;62;01;1;0954047;39877;ul.;Chyły;Bronisława;2024-06-21
02;62;01;1;0954047;02974;ul.;Cicha;;2024-06-21
