Informacje podstawowe:
 Nazwa katalogu: ULIC, 
 Zawartość: część, 
 Czas utworzenia: 23.06.2024 16:51:23. 

WOJ;POW;GMI;RODZ_GMI;SYM;SYM_UL;CECHA;NAZWA_1;NAZWA_2;STAN_NA
30;63;01;1;0954225;00157;ul.;Akacjowa;;2024-06-21
30;63;01;1;0954225;02046;ul.;Alberta;Brata;2024-06-21
30;63;01;1;0954225;48294;al.;Aleja 21 Października;;2024-06-21
30;63;01;1;0954225;46251;al.;Aleja Gwiazd Żużla;;2024-06-21
30;63;01;1;0954225;59879;pl.;Aleja Leszczyńskich Piłkarzy;;2024-06-21
30;63;01;1;0954225;35344;al.;Aleje Jana Pawła II;;2024-06-21
30;63;01;1;0954225;42438;al.;Aleje Konstytucji 3 Maja;;2024-06-21
30;63;01;1;0954225;50415;al.;Aleje Marszałka Józefa Piłsudskiego;;2024-06-21
30;63;01;1;0954225;42439;al.;Aleje Zygmunta Krasińskiego;;2024-06-21
30;63;01;1;0954225;00289;ul.;Andersena;Hansa Christiana;2024-06-21
30;63;01;1;0954225;42440;ul.;Andrzejewskiego;por. Wacława;2024-06-21
30;63;01;1;0954225;00360;ul.;Antonińska;;2024-06-21
30;63;01;1;0954225;00359;ul.;Antoniny;;2024-06-21
30;63;01;1;0954225;00378;ul.;Aptekarska;;2024-06-21
30;63;01;1;0954225;00388;ul.;Architektów;;2024-06-21
30;63;01;1;0954225;00432;ul.;Armii Krajowej;;2024-06-21
30;63;01;1;0954225;00457;ul.;Artyleryjska;;2024-06-21
30;63;01;1;0954225;00470;ul.;Asnyka;Adama;2024-06-21
30;63;01;1;0954225;31214;ul.;Austriacka;;2024-06-21
30;63;01;1;0954225;00569;ul.;Baczyńskiego;Krzysztofa Kamila;2024-06-21
30;63;01;1;0954225;00608;ul.;Bajkowa;;2024-06-21
30;63;01;1;0954225;00979;ul.;Belgijska;;2024-06-21
30;63;01;1;0954225;01014;ul.;Bema;gen. Józefa;2024-06-21
30;63;01;1;0954225;01095;ul.;Berwińskich;;2024-06-21
30;63;01;1;0954225;01344;ul.;Billewiczówny;Oleńki;2024-06-21
30;63;01;1;0954225;01528;ul.;Boczna;;2024-06-21
30;63;01;1;0954225;01681;ul.;Bohaterów Westerplatte;;2024-06-21
30;63;01;1;0954225;01704;ul.;Bojanowskiego;Edmunda;2024-06-21
30;63;01;1;0954225;01742;ul.;Bolesława Chrobrego;;2024-06-21
30;63;01;1;0954225;01842;ul.;Borowa;;2024-06-21
30;63;01;1;0954225;01856;ul.;Borowikowa;;2024-06-21
