Informacje podstawowe:
 Nazwa katalogu: ULIC, 
 Zawartość: część, 
 Czas utworzenia: 23.06.2024 16:51:23. 

WOJ;POW;GMI;RODZ_GMI;SYM;SYM_UL;CECHA;NAZWA_1;NAZWA_2;STAN_NA
16;61;01;1;0965016;39971;ul.;"Hubala";Majora;2024-06-21
16;61;01;1;0965016;57072;ul.;"Kory" Olgi Sipowicz;;2024-06-21
16;61;01;1;0965016;54239;pl.;25-lecia Elektrowni Opole;;2024-06-21
16;61;01;1;0965016;00099;ul.;Adama;;2024-06-21
16;61;01;1;0965016;00107;ul.;Adamka;Jana;2024-06-21
16;61;01;1;0965016;00138;ul.;Agatowa;;2024-06-21
16;61;01;1;0965016;00148;ul.;Agrestowa;;2024-06-21
16;61;01;1;0965016;00157;ul.;Akacjowa;;2024-06-21
16;61;01;1;0965016;00167;ul.;Aksamitna;;2024-06-21
16;61;01;1;0965016;00173;ul.;Akwarelowa;;2024-06-21
16;61;01;1;0965016;00175;ul.;Alabastrowa;;2024-06-21
16;61;01;1;0965016;40019;ul.;Aleja "Solidarności";;2024-06-21
16;61;01;1;0965016;36834;ul.;Aleja Dębowa;;2024-06-21
16;61;01;1;0965016;48999;ul.;Aleja Goździkowa;;2024-06-21
16;61;01;1;0965016;40004;ul.;Aleja Księdza Józefa Kentenicha;;2024-06-21
16;61;01;1;0965016;48997;ul.;Aleja Maciejkowa;;2024-06-21
16;61;01;1;0965016;48998;ul.;Aleja Miętowa;;2024-06-21
16;61;01;1;0965016;48996;ul.;Aleja Migdałowa;;2024-06-21
16;61;01;1;0965016;49852;ul.;Aleja Narciarzy;;2024-06-21
16;61;01;1;0965016;37375;ul.;Aleja Przyjaźni;;2024-06-21
16;61;01;1;0965016;40020;ul.;Aleja Wincentego Witosa;;2024-06-21
16;61;01;1;0965016;32480;ul.;Alternatywy;;2024-06-21
16;61;01;1;0965016;00254;ul.;Amarantowa;;2024-06-21
16;61;01;1;0965016;00266;ul.;Ametystowa;;2024-06-21
16;61;01;1;0965016;00285;ul.;Andersa;gen. Władysława;2024-06-21
16;61;01;1;0965016;00339;ul.;Anny;św.;2024-06-21
16;61;01;1;0965016;00366;ul.;Antracytowa;;2024-06-21
16;61;01;1;0965016;00432;ul.;Armii Krajowej;;2024-06-21
16;61;01;1;0965016;00448;ul.;Aroniowa;;2024-06-21
16;61;01;1;0965016;00470;ul.;Asnyka;Adama;2024-06-21
16;61;01;1;0965016;00476;ul.;Astrów;;2024-06-21
16;61;01;1;0965016;00496;ul.;Augustyna;Jana;2024-06-21
16;61;01;1;0965016;00516;ul.;Azalii;;2024-06-21
16;61;01;1;0965016;00518;ul.;Azaliowa;;2024-06-21
16;61;01;1;0965016;00533;ul.;Babiego Lata;;2024-06-21
16;61;01;1;0965016;00569;ul.;Baczyńskiego;Krzysztofa Kamila;2024-06-21
16;61;01;1;0965016;00608;ul.;Bajkowa;;2024-06-21
16;61;01;1;0965016;39968;ul.;Baldego;Księdza Stefana;2024-06-21
16;61;01;1;0965016;00656;ul.;Bałtycka;;2024-06-21
16;61;01;1;0965016;28235;ul.;Banacha;prof. Stefana;2024-06-21
16;61;01;1;0965016;36519;ul.;Bankietowa;;2024-06-21
16;61;01;1;0965016;00729;ul.;Barbary;św.;2024-06-21
16;61;01;1;0965016;00763;ul.;Barlickiego;Norberta;2024-06-21
16;61;01;1;0965016;00775;ul.;Barona;Józefa;2024-06-21
16;61;01;1;0965016;00834;ul.;Barwna;;2024-06-21
16;61;01;1;0965016;34335;ul.;Bassego;Augusta;2024-06-21
16;61;01;1;0965016;00861;ul.;Basztowa;;2024-06-21
16;61;01;1;0965016;00868;ul.;Batalionów Chłopskich;;2024-06-21
16;61;01;1;0965016;00872;ul.;Batalionu "Parasol";;2024-06-21
16;61;01;1;0965016;00877;ul.;Batalionu "Zośka";;2024-06-21
16;61;01;1;0965016;00925;ul.;Bażantowa;;2024-06-21
16;61;01;1;0965016;00920;ul.;Bazyliowa;;2024-06-21
16;61;01;1;0965016;43753;ul.;Bednorza;Zbyszka;2024-06-21
16;61;01;1;0965016;00970;ul.;Begonii;;2024-06-21
16;61;01;1;0965016;01071;ul.;Berlińska;;2024-06-21
