Informacje podstawowe:
 Nazwa katalogu: ULIC, 
 Zawartość: część, 
 Czas utworzenia: 23.06.2024 16:51:23. 

WOJ;POW;GMI;RODZ_GMI;SYM;SYM_UL;CECHA;NAZWA_1;NAZWA_2;STAN_NA
02;65;01;1;0983681;59631;al.;Aleja Rodziny Hochbergów;;2024-06-21
02;65;01;1;0983681;00285;ul.;Andersa;gen. Władysława;2024-06-21
02;65;01;1;0983681;00378;ul.;Aptekarska;;2024-06-21
02;65;01;1;0983681;00419;ul.;Armii;II;2024-06-21
02;65;01;1;0983681;00432;ul.;Armii Krajowej;;2024-06-21
02;65;01;1;0983681;00470;ul.;Asnyka;Adama;2024-06-21
02;65;01;1;0983681;00518;ul.;Azaliowa;;2024-06-21
02;65;01;1;0983681;00569;ul.;Baczyńskiego;Krzysztofa Kamila;2024-06-21
02;65;01;1;0983681;00656;ul.;Bałtycka;;2024-06-21
02;65;01;1;0983681;00729;ul.;Barbary;św.;2024-06-21
02;65;01;1;0983681;00734;ul.;Barbusse'a;Henri;2024-06-21
02;65;01;1;0983681;00752;ul.;Bardowskiego;Piotra;2024-06-21
02;65;01;1;0983681;00763;ul.;Barlickiego;Norberta;2024-06-21
02;65;01;1;0983681;00861;ul.;Basztowa;;2024-06-21
02;65;01;1;0983681;01014;ul.;Bema;gen. Józefa;2024-06-21
02;65;01;1;0983681;01034;ul.;Beniowskiego;Maurycego;2024-06-21
02;65;01;1;0983681;01103;ul.;Beskidzka;;2024-06-21
02;65;01;1;0983681;01403;ul.;Blankowa;;2024-06-21
02;65;01;1;0983681;01528;ul.;Boczna;;2024-06-21
02;65;01;1;0983681;01608;ul.;Bogusławskiego;Wojciecha;2024-06-21
02;65;01;1;0983681;01637;ul.;Bohaterów Getta;;2024-06-21
02;65;01;1;0983681;01667;pl.;Bohaterów Pracy;;2024-06-21
02;65;01;1;0983681;01742;ul.;Bolesława Chrobrego;;2024-06-21
02;65;01;1;0983681;01749;ul.;Bolesława Krzywoustego;;2024-06-21
02;65;01;1;0983681;01929;ul.;Boya-Żeleńskiego;Tadeusza;2024-06-21
02;65;01;1;0983681;02125;ul.;Broniewskiego;Władysława;2024-06-21
02;65;01;1;0983681;02148;ul.;Browarna;;2024-06-21
02;65;01;1;0983681;02202;ul.;Brygady Górniczej;;2024-06-21
02;65;01;1;0983681;02225;ul.;Brzechwy;Jana;2024-06-21
02;65;01;1;0983681;02264;ul.;Brzoskwiniowa;;2024-06-21
02;65;01;1;0983681;02276;ul.;Brzozowa;;2024-06-21
02;65;01;1;0983681;02386;ul.;Bukietowa;;2024-06-21
02;65;01;1;0983681;02387;ul.;Bukowa;;2024-06-21
02;65;01;1;0983681;02516;ul.;Bystrzycka;;2024-06-21
02;65;01;1;0983681;02587;ul.;Ceglana;;2024-06-21
02;65;01;1;0983681;02657;ul.;Chabrowa;;2024-06-21
02;65;01;1;0983681;02663;ul.;Chałubińskiego;Tytusa;2024-06-21
02;65;01;1;0983681;02706;ul.;Chełmońskiego;Józefa;2024-06-21
02;65;01;1;0983681;26983;ul.;Chodkiewicza;Karola;2024-06-21
02;65;01;1;0983681;02849;ul.;Chopina;Fryderyka;2024-06-21
02;65;01;1;0983681;02974;ul.;Cicha;;2024-06-21
02;65;01;1;0983681;02997;ul.;Ciechocińska;;2024-06-21
02;65;01;1;0983681;03114;ul.;Cmentarna;;2024-06-21
02;65;01;1;0983681;03235;ul.;Czajkowskiego;Piotra;2024-06-21
02;65;01;1;0983681;03283;ul.;Czarnieckiego;Stefana;2024-06-21
02;65;01;1;0983681;03369;pl.;Czeredziaka;Aleksego;2024-06-21
02;65;01;1;0983681;03376;ul.;Czereśniowa;;2024-06-21
02;65;01;1;0983681;03434;ul.;Czerwonego Krzyża;;2024-06-21
02;65;01;1;0983681;03663;ul.;Dąbrowiecka;;2024-06-21
02;65;01;1;0983681;03687;ul.;Dąbrowskiego;Jarosława;2024-06-21
02;65;01;1;0983681;03691;ul.;Dąbrowskiej;Marii;2024-06-21
02;65;01;1;0983681;03620;pl.;Darowskiej;Marceliny;2024-06-21
02;65;01;1;0983681;03639;ul.;Daszyńskiego;Ignacego;2024-06-21
02;65;01;1;0983681;59685;al.;de Gaulle'a;gen. Charles'a;2024-06-21
02;65;01;1;0983681;03811;ul.;Dębowa;;2024-06-21
02;65;01;1;0983681;03839;ul.;Długa;;2024-06-21
02;65;01;1;0983681;03851;ul.;Długosza;Jana;2024-06-21
02;65;01;1;0983681;03868;ul.;Dmowskiego;Romana;2024-06-21
