Informacje podstawowe:
 Nazwa katalogu: ULIC, 
 Zawartość: część, 
 Czas utworzenia: 23.06.2024 16:51:23. 

WOJ;POW;GMI;RODZ_GMI;SYM;SYM_UL;CECHA;NAZWA_1;NAZWA_2;STAN_NA
02;64;01;1;0986283;00091;ul.;Abrahama;gen. Romana;2024-06-23
02;64;01;1;0986283;00095;ul.;Abramowskiego;Edwarda;2024-06-23
02;64;01;1;0986283;00101;ul.;Adamczewskich;Heleny i Ludwika;2024-06-23
02;64;01;1;0986283;00105;ul.;Adamieckiego;Karola;2024-06-23
02;64;01;1;0986283;55398;skwer;Adamowicza;Pawła;2024-06-23
02;64;01;1;0986283;00126;ul.;Admiralska;;2024-06-23
02;64;01;1;0986283;00133;ul.;Afgańska;;2024-06-23
02;64;01;1;0986283;00138;ul.;Agatowa;;2024-06-23
02;64;01;1;0986283;00148;ul.;Agrestowa;;2024-06-23
02;64;01;1;0986283;00156;al.;Akacjowa;;2024-06-23
02;64;01;1;0986283;02046;ul.;Alberta;Brata;2024-06-23
02;64;01;1;0986283;42738;ul.;Aleja Śląska;;2024-06-23
02;64;01;1;0986283;00236;ul.;Aliancka;;2024-06-23
02;64;01;1;0986283;00242;ul.;Alpejska;;2024-06-23
02;64;01;1;0986283;00246;ul.;Altanowa;;2024-06-23
02;64;01;1;0986283;00253;ul.;Ałunowa;;2024-06-23
02;64;01;1;0986283;00254;ul.;Amarantowa;;2024-06-23
02;64;01;1;0986283;00266;ul.;Ametystowa;;2024-06-23
02;64;01;1;0986283;00275;ul.;Ananasowa;;2024-06-23
02;64;01;1;0986283;00277;ul.;Anczyca;Władysława;2024-06-23
02;64;01;1;0986283;00316;ul.;Angielska;;2024-06-23
02;64;01;1;0986283;00321;pl.;Anielewicza;Mordechaja;2024-06-23
02;64;01;1;0986283;00339;ul.;Anny;św.;2024-06-23
02;64;01;1;0986283;54724;skwer;Anny Śląskiej;Księżnej;2024-06-23
02;64;01;1;0986283;00351;ul.;Antoniego;św.;2024-06-23
02;64;01;1;0986283;00371;ul.;Anyżowa;;2024-06-23
02;64;01;1;0986283;00378;ul.;Aptekarska;;2024-06-23
02;64;01;1;0986283;00380;ul.;Arabska;;2024-06-23
02;64;01;1;0986283;35007;ul.;Arachidowa;;2024-06-23
02;64;01;1;0986283;00384;ul.;Arbuzowa;;2024-06-23
02;64;01;1;0986283;00385;ul.;Archeologów;;2024-06-23
02;64;01;1;0986283;50628;al.;Architektów;;2024-06-23
02;64;01;1;0986283;00398;ul.;Arctowskiego;Henryka;2024-06-23
02;64;01;1;0986283;00417;ul.;Armeńska;;2024-06-23
02;64;01;1;0986283;00428;al.;Armii Krajowej;;2024-06-23
02;64;01;1;0986283;00448;ul.;Aroniowa;;2024-06-23
02;64;01;1;0986283;00449;ul.;Arrasowa;;2024-06-23
02;64;01;1;0986283;56917;ul.;Artemskiej;Beaty;2024-06-23
02;64;01;1;0986283;00457;ul.;Artyleryjska;;2024-06-23
02;64;01;1;0986283;00464;ul.;Asfaltowa;;2024-06-23
02;64;01;1;0986283;00470;ul.;Asnyka;Adama;2024-06-23
02;64;01;1;0986283;00475;ul.;Astrowa;;2024-06-23
02;64;01;1;0986283;00493;ul.;Augustowska;;2024-06-23
02;64;01;1;0986283;00505;ul.;Australijska;;2024-06-23
02;64;01;1;0986283;31214;ul.;Austriacka;;2024-06-23
02;64;01;1;0986283;00511;ul.;Awicenny;Ibn Siny;2024-06-23
02;64;01;1;0986283;00518;ul.;Azaliowa;;2024-06-23
02;64;01;1;0986283;00533;ul.;Babiego Lata;;2024-06-23
02;64;01;1;0986283;00535;ul.;Babimojska;;2024-06-23
02;64;01;1;0986283;00541;ul.;Babiogórska;;2024-06-23
02;64;01;1;0986283;00546;ul.;Bacciarellego;Marcellego;2024-06-23
02;64;01;1;0986283;00547;ul.;Bacewicz;Grażyny;2024-06-23
