Informacje podstawowe:
 Nazwa katalogu: ULIC, 
 Zawartość: część, 
 Czas utworzenia: 23.06.2024 16:51:23. 

WOJ;POW;GMI;RODZ_GMI;SYM;SYM_UL;CECHA;NAZWA_1;NAZWA_2;STAN_NA
08;62;01;1;0988313;00134;ul.;Afrodyty;;2024-06-21
08;62;01;1;0988313;00138;ul.;Agatowa;;2024-06-21
08;62;01;1;0988313;00148;ul.;Agrestowa;;2024-06-21
08;62;01;1;0988313;00157;ul.;Akacjowa;;2024-06-21
08;62;01;1;0988313;00160;ul.;Akademicka;;2024-06-21
08;62;01;1;0988313;60039;ul.;Akrobatów;;2024-06-21
08;62;01;1;0988313;36348;ul.;Aleja Juliusza Słowackiego;;2024-06-21
08;62;01;1;0988313;34511;ul.;Aleja Konstytucji 3 Maja;;2024-06-21
08;62;01;1;0988313;30816;ul.;Aleja Niepodległości;;2024-06-21
08;62;01;1;0988313;33764;ul.;Aleja Wojska Polskiego;;2024-06-21
08;62;01;1;0988313;00239;ul.;Aliny;;2024-06-21
08;62;01;1;0988313;00254;ul.;Amarantowa;;2024-06-21
08;62;01;1;0988313;37465;ul.;Amelii;;2024-06-21
08;62;01;1;0988313;00266;ul.;Ametystowa;;2024-06-21
08;62;01;1;0988313;00275;ul.;Ananasowa;;2024-06-21
08;62;01;1;0988313;00341;ul.;Anny Jagiellonki;;2024-06-21
08;62;01;1;0988313;35457;ul.;Apolla;;2024-06-21
08;62;01;1;0988313;00398;ul.;Arctowskiego;Henryka;2024-06-21
08;62;01;1;0988313;00402;ul.;Aresa;;2024-06-21
08;62;01;1;0988313;00432;ul.;Armii Krajowej;;2024-06-21
08;62;01;1;0988313;00452;ul.;Artemidy;;2024-06-21
08;62;01;1;0988313;00483;ul.;Ateny;;2024-06-21
08;62;01;1;0988313;00493;ul.;Augustowska;;2024-06-21
08;62;01;1;0988313;00518;ul.;Azaliowa;;2024-06-21
08;62;01;1;0988313;00639;ul.;Balladyny;;2024-06-21
08;62;01;1;0988313;00656;ul.;Bałtycka;;2024-06-21
08;62;01;1;0988313;00670;ul.;Bananowa;;2024-06-21
08;62;01;1;0988313;38276;rondo;Bandurskiego;Albina;2024-06-21
08;62;01;1;0988313;00692;ul.;Bankowa;;2024-06-21
08;62;01;1;0988313;47820;ul.;Barcikowice;;2024-06-21
08;62;01;1;0988313;37883;ul.;Bema;Generała Józefa;2024-06-21
08;62;01;1;0988313;01032;ul.;Beniowskiego;;2024-06-21
08;62;01;1;0988313;01124;ul.;Beżowa;;2024-06-21
08;62;01;1;0988313;01132;ul.;Biała;;2024-06-21
08;62;01;1;0988313;37390;ul.;Billewiczówny;;2024-06-21
08;62;01;1;0988313;01458;ul.;Błękitna;;2024-06-21
08;62;01;1;0988313;51752;rondo;Błękitnych Kisielin;;2024-06-21
08;62;01;1;0988313;01473;ul.;Błotna;;2024-06-21
08;62;01;1;0988313;01518;ul.;Bociania;;2024-06-21
08;62;01;1;0988313;01528;ul.;Boczna;;2024-06-21
08;62;01;1;0988313;01551;ul.;Boduena;;2024-06-21
08;62;01;1;0988313;01681;ul.;Bohaterów Westerplatte;;2024-06-21
08;62;01;1;0988313;01742;ul.;Bolesława Chrobrego;;2024-06-21
08;62;01;1;0988313;01749;ul.;Bolesława Krzywoustego;;2024-06-21
08;62;01;1;0988313;01774;ul.;Bolka i Lolka;;2024-06-21
08;62;01;1;0988313;38277;rondo;Borchers;Anny;2024-06-21
08;62;01;1;0988313;35529;ul.;Bordowa;;2024-06-21
08;62;01;1;0988313;01874;ul.;Borówkowa;;2024-06-21
08;62;01;1;0988313;01916;ul.;Bosmańska;;2024-06-21
08;62;01;1;0988313;01920;ul.;Botaniczna;;2024-06-21
08;62;01;1;0988313;02036;ul.;Braniborska;;2024-06-21
08;62;01;1;0988313;02056;ul.;Bratkowa;;2024-06-21
08;62;01;1;0988313;02069;ul.;Brązowa;;2024-06-21
08;62;01;1;0988313;02148;ul.;Browarna;;2024-06-21
08;62;01;1;0988313;02209;ul.;Brylantowa;;2024-06-21
08;62;01;1;0988313;02276;ul.;Brzozowa;;2024-06-21
08;62;01;1;0988313;02335;ul.;Budowlana;;2024-06-21
08;62;01;1;0988313;02353;ul.;Budziszyńska;;2024-06-21
08;62;01;1;0988313;02387;ul.;Bukowa;;2024-06-21
08;62;01;1;0988313;02436;ul.;Bułgarska;;2024-06-21
08;62;01;1;0988313;02462;ul.;Bursztynowa;;2024-06-21
08;62;01;1;0988313;02541;ul.;Calineczki;;2024-06-21
08;62;01;1;0988313;02587;ul.;Ceglana;;2024-06-21
08;62;01;1;0988313;02629;ul.;Ceramiczna;;2024-06-21
08;62;01;1;0988313;02657;ul.;Chabrowa;;2024-06-21
08;62;01;1;0988313;02706;ul.;Chełmońskiego;Józefa;2024-06-21
08;62;01;1;0988313;02712;ul.;Chemiczna;;2024-06-21
08;62;01;1;0988313;02739;ul.;Chłodna;;2024-06-21
08;62;01;1;0988313;02768;ul.;Chmielna;;2024-06-21
08;62;01;1;0988313;02780;ul.;Chochlika;;2024-06-21
08;62;01;1;0988313;02849;ul.;Chopina;Fryderyka;2024-06-21
08;62;01;1;0988313;02957;ul.;Chynowska;;2024-06-21
08;62;01;1;0988313;02974;ul.;Cicha;;2024-06-21
08;62;01;1;0988313;03048;ul.;Ciesielska;;2024-06-21
08;62;01;1;0988313;03098;ul.;Cisowa;;2024-06-21
08;62;01;1;0988313;29489;ul.;Cynarskiego;Stanisława;2024-06-21
08;62;01;1;0988313;03191;ul.;Cyprysowa;;2024-06-21
08;62;01;1;0988313;38382;ul.;Cyryla i Metodego;Świętych;2024-06-21
08;62;01;1;0988313;03213;ul.;Cytrynowa;;2024-06-21
08;62;01;1;0988313;29864;ul.;Czekanowskiego;Aleksandra;2024-06-21
08;62;01;1;0988313;30397;ul.;Czerskiego;Jana;2024-06-21
08;62;01;1;0988313;03483;ul.;Czubińskiego;Zygmunta;2024-06-21
08;62;01;1;0988313;03534;ul.;Czyżykowa;;2024-06-21
08;62;01;1;0988313;03701;ul.;Dąbrówki;;2024-06-21
08;62;01;1;0988313;42155;ul.;Dąbrowskiego;Generała Jarosława;2024-06-21
08;62;01;1;0988313;03566;ul.;Daliowa;;2024-06-21
08;62;01;1;0988313;03603;ul.;Dantyszka;;2024-06-21
08;62;01;1;0988313;49010;rondo;de Talleyrand - Périgord;Księżnej Doroty;2024-06-21
08;62;01;1;0988313;03811;ul.;Dębowa;;2024-06-21
08;62;01;1;0988313;03726;ul.;Dekarska;;2024-06-21
08;62;01;1;0988313;03731;ul.;Dekoracyjna;;2024-06-21
08;62;01;1;0988313;35458;ul.;Demeter;;2024-06-21
08;62;01;1;0988313;03774;ul.;Dereszowa;;2024-06-21
08;62;01;1;0988313;03778;ul.;Derwida;;2024-06-21
08;62;01;1;0988313;03826;ul.;Diamentowa;;2024-06-21
08;62;01;1;0988313;03835;ul.;Dionizosa;;2024-06-21
08;62;01;1;0988313;03839;ul.;Długa;;2024-06-21
08;62;01;1;0988313;29979;rondo;Dmowskiego;Romana;2024-06-21
08;62;01;1;0988313;37464;ul.;Dolina Luizy;;2024-06-21
08;62;01;1;0988313;04025;ul.;Dolina Zielona;;2024-06-21
08;62;01;1;0988313;04034;ul.;Dolna;;2024-06-21
08;62;01;1;0988313;04094;ul.;Domeyki;Ignacego;2024-06-21
08;62;01;1;0988313;04151;ul.;Dożynkowa;;2024-06-21
08;62;01;1;0988313;04308;ul.;Drzewna;;2024-06-21
08;62;01;1;0988313;47435;ul.;Drzonków-Agrestowa;;2024-06-21
08;62;01;1;0988313;47770;ul.;Drzonków-Akacjowa;;2024-06-21
08;62;01;1;0988313;47502;ul.;Drzonków-Bażantowa;;2024-06-21
08;62;01;1;0988313;47578;ul.;Drzonków-Boczna;;2024-06-21
08;62;01;1;0988313;48741;ul.;Drzonków-Brzozowa;;2024-06-21
